country_name,Country Code,2018 [YR2018]
Afghanistan,AFG,18053222735
Albania,ALB,15156424015
Algeria,DZA,1.75E+11
American Samoa,ASM,639000000
Andorra,AND,3218418632
Angola,AGO,79450688232
Antigua and Barbuda,ATG,1661529630
Argentina,ARG,5.25E+11
Armenia,ARM,12457940695
Aruba,ABW,3276184358
Australia,AUS,1.43E+12
Austria,AUT,4.55E+11
Azerbaijan,AZE,47112470052
"Bahamas, The",BHS,12653600000
Bahrain,BHR,37802005319
Bangladesh,BGD,3.21E+11
Barbados,BRB,5110250000
Belarus,BLR,60031173808
Belgium,BEL,5.43E+11
Belize,BLZ,2292787336
Benin,BEN,14262408080
Bermuda,BMU,7225977000
Bhutan,BTN,2583335724
Bolivia,BOL,40287647931
Bosnia and Herzegovina,BIH,20484053869
Botswana,BWA,17031943186
Brazil,BRA,1.92E+12
British Virgin Islands,VGB,..
Brunei Darussalam,BRN,13566937674
Bulgaria,BGR,66370132238
Burkina Faso,BFA,15890066221
Burundi,BDI,2667182200
Cabo Verde,CPV,2205099507
Cambodia,KHM,24571753583
Cameroon,CMR,39973842087
Canada,CAN,1.73E+12
Cayman Islands,CYM,5530178441
Central African Republic,CAF,2220979146
Chad,TCD,11239167898
Channel Islands,CHI,10422948632
Chile,CHL,2.96E+11
China,CHN,1.39E+13
Colombia,COL,3.34E+11
Comoros,COM,1188797450
"Congo, Dem. Rep.",COD,47568210010
"Congo, Rep.",COG,14773806078
Costa Rica,CRI,62420164992
Cote d'Ivoire,CIV,58522477745
Croatia,HRV,61481309636
Cuba,CUB,1.00E+11
Curacao,CUW,3046364820
Cyprus,CYP,25523485043
Czechia,CZE,2.49E+11
Denmark,DNK,3.57E+11
Djibouti,DJI,2913466732
Dominica,DMA,554770370.4
Dominican Republic,DOM,85555390139
Ecuador,ECU,1.08E+11
"Egypt, Arab Rep.",EGY,2.63E+11
El Salvador,SLV,26020850000
Equatorial Guinea,GNQ,13097012124
Eritrea,ERI,..
Estonia,EST,30624720196
Eswatini,SWZ,4666598024
Ethiopia,ETH,84269196626
Faroe Islands,FRO,3188600927
Fiji,FJI,5581425325
Finland,FIN,2.76E+11
France,FRA,2.79E+12
French Polynesia,PYF,6135116253
Gabon,GAB,16867326402
"Gambia, The",GMB,1670671328
Georgia,GEO,17596922470
Germany,DEU,3.97E+12
Ghana,GHA,67298913752
Gibraltar,GIB,..
Greece,GRC,2.12E+11
Greenland,GRL,3055782146
Grenada,GRD,1166514815
Guam,GUM,6056000000
Guatemala,GTM,73328365862
Guinea,GIN,11857030367
Guinea-Bissau,GNB,1504630234
Guyana,GUY,4787637006
Haiti,HTI,16403864522
Honduras,HND,24067750760
"Hong Kong SAR, China",HKG,3.62E+11
Hungary,HUN,1.61E+11
Iceland,ISL,26260850582
India,IND,2.70E+12
Indonesia,IDN,1.04E+12
"Iran, Islamic Rep.",IRN,3.30E+11
Iraq,IRQ,2.27E+11
Ireland,IRL,3.87E+11
Isle of Man,IMN,7491654051
Israel,ISR,3.77E+11
Italy,ITA,2.09E+12
Jamaica,JAM,15730792836
Japan,JPN,5.04E+12
Jordan,JOR,43370860704
Kazakhstan,KAZ,1.79E+11
Kenya,KEN,92202979985
Kiribati,KIR,196501525.7
"Korea, Dem. People's Rep.",PRK,..
"Korea, Rep.",KOR,1.73E+12
Kosovo,XKX,7878759715
Kuwait,KWT,1.38E+11
Kyrgyz Republic,KGZ,8271106235
Lao PDR,LAO,18141651381
Latvia,LVA,34429023435
Lebanon,LBN,54901519156
Lesotho,LSO,2556247292
Liberia,LBR,3422754800
Libya,LBY,76686048497
Liechtenstein,LIE,6692620692
Lithuania,LTU,53751411409
Luxembourg,LUX,71000359760
"Macao SAR, China",MAC,55190661340
Madagascar,MDG,13760033282
Malawi,MWI,9880675786
Malaysia,MYS,3.59E+11
Maldives,MDV,5404344159
Mali,MLI,17070867590
Malta,MLT,15404393365
Marshall Islands,MHL,219430038.5
Mauritania,MRT,7473550557
Mauritius,MUS,14735695931
Mexico,MEX,1.26E+12
"Micronesia, Fed. Sts.",FSM,401932300
Moldova,MDA,11253727815
Monaco,MCO,7182444410
Mongolia,MNG,13178094720
Montenegro,MNE,5506942238
Morocco,MAR,1.27E+11
Mozambique,MOZ,15017358751
Myanmar,MMR,67855845007
Namibia,NAM,13682018827
Nauru,NRU,130995566.3
Nepal,NPL,33111525183
Netherlands,NLD,9.14E+11
New Caledonia,NCL,9896402284
New Zealand,NZL,2.12E+11
Nicaragua,NIC,13025234959
Niger,NER,12837307497
Nigeria,NGA,4.22E+11
North Macedonia,MKD,12683068114
Northern Mariana Islands,MNP,1301000000
Norway,NOR,4.40E+11
Oman,OMN,91505851756
Pakistan,PAK,3.56E+11
Palau,PLW,288546281.3
Panama,PAN,67294169200
Papua New Guinea,PNG,24109780708
Paraguay,PRY,40225448341
Peru,PER,2.23E+11
Philippines,PHL,3.47E+11
Poland,POL,5.89E+11
Portugal,PRT,2.42E+11
Puerto Rico,PRI,1.01E+11
Qatar,QAT,1.83E+11
Romania,ROU,2.43E+11
Russian Federation,RUS,1.66E+12
Rwanda,RWA,9636254325
Samoa,WSM,878448433.4
San Marino,SMR,1655354304
Sao Tome and Principe,STP,383717327.8
Saudi Arabia,SAU,8.47E+11
Senegal,SEN,23116701556
Serbia,SRB,50640662859
Seychelles,SYC,1588050311
Sierra Leone,SLE,4085114388
Singapore,SGP,3.77E+11
Sint Maarten (Dutch part),SXM,1259200443
Slovak Republic,SVK,1.06E+11
Slovenia,SVN,54177882426
Solomon Islands,SLB,1615478393
Somalia,SOM,8278212314
South Africa,ZAF,4.05E+11
South Sudan,SSD,..
Spain,ESP,1.42E+12
Sri Lanka,LKA,94493871201
St. Kitts and Nevis,KNA,1076240741
St. Lucia,LCA,2057066667
St. Martin (French part),MAF,..
St. Vincent and the Grenadines,VCT,884329629.6
Sudan,SDN,32333780383
Suriname,SUR,3996198867
Sweden,SWE,5.55E+11
Switzerland,CHE,7.26E+11
Syrian Arab Republic,SYR,21496337949
Tajikistan,TJK,7765000282
Tanzania,TZA,57003712892
Thailand,THA,5.07E+11
Timor-Leste,TLS,1566157200
Togo,TGO,7029215766
Tonga,TON,488906838.6
Trinidad and Tobago,TTO,24569079488
Tunisia,TUN,42686580021
Turkiye,TUR,7.79E+11
Turkmenistan,TKM,40765428571
Turks and Caicos Islands,TCA,1113178000
Tuvalu,TUV,48015259.88
Uganda,UGA,32927025620
Ukraine,UKR,1.31E+11
United Arab Emirates,ARE,4.27E+11
United Kingdom,GBR,2.87E+12
United States,USA,2.05E+13
Uruguay,URY,65203071818
Uzbekistan,UZB,52870108217
Vanuatu,VUT,914736985.4
"Venezuela, RB",VEN,..
Viet Nam,VNM,3.10E+11
Virgin Islands (U.S.),VIR,3923000000
West Bank and Gaza,PSE,16276600000
"Yemen, Rep.",YEM,21606160784
Zambia,ZMB,26311507274
Zimbabwe,ZWE,34156069918
Africa Eastern and Southern,AFE,1.01E+12
Africa Western and Central,AFW,7.68E+11
Arab World,ARB,2.85E+12
Caribbean small states,CSS,76540797384
Central Europe and the Baltics,CEB,1.65E+12
Early-demographic dividend,EAR,1.15E+13
East Asia & Pacific,EAS,2.65E+13
East Asia & Pacific (excluding high income),EAP,1.66E+13
East Asia & Pacific (IDA & IBRD countries),TEA,1.66E+13
Euro area,EMU,1.38E+13
Europe & Central Asia,ECS,2.32E+13
Europe & Central Asia (excluding high income),ECA,3.18E+12
Europe & Central Asia (IDA & IBRD countries),TEC,4.08E+12
European Union,EUU,1.60E+13
Fragile and conflict affected situations,FCS,1.74E+12
Heavily indebted poor countries (HIPC),HPC,7.75E+11
High income,HIC,5.48E+13
IBRD only,IBD,3.06E+13
IDA & IBRD total,IBT,3.29E+13
IDA blend,IDB,1.05E+12
IDA only,IDX,1.33E+12
IDA total,IDA,2.38E+12
Late-demographic dividend,LTE,2.26E+13
Latin America & Caribbean,LCN,5.74E+12
Latin America & Caribbean (excluding high income),LAC,4.87E+12
Latin America & the Caribbean (IDA & IBRD countries),TLA,5.50E+12
Least developed countries: UN classification,LDC,1.09E+12
Low & middle income,LMY,3.14E+13
Low income,LIC,4.18E+11
Lower middle income,LMC,6.61E+12
Middle East & North Africa,MEA,3.52E+12
Middle East & North Africa (excluding high income),MNA,1.40E+12
Middle East & North Africa (IDA & IBRD countries),TMN,1.39E+12
Middle income,MIC,3.10E+13
North America,NAC,2.23E+13
Not classified,INX,..
OECD members,OED,5.34E+13
Other small states,OSS,4.43E+11
Pacific island small states,PSS,10764416947
Post-demographic dividend,PST,5.04E+13
Pre-demographic dividend,PRE,1.35E+12
Small states,SST,5.31E+11
South Asia,SAS,3.53E+12
South Asia (IDA & IBRD),TSA,3.53E+12
Sub-Saharan Africa,SSF,1.78E+12
Sub-Saharan Africa (excluding high income),SSA,1.78E+12
Sub-Saharan Africa (IDA & IBRD countries),TSS,1.78E+12
Upper middle income,UMC,2.44E+13
